Spell Name,Type,Pronunciation,Description,Seen/Mentioned
(Sea urchin jinx)[],Jinx,N/A,This spell begins to transform the victim into a sea urchin.,"This spell was used on 2 May, 1998, during the Battle of Hogwarts, by Percy Weasley on an Imperiused Pius Thicknesse.[31]"
Sectumsempra[],Curse,sec-tum-SEMP-rah,"Lacerates the target, as if they have been ""slashed by a sword."" Subsequently, the target can easily bleed to death from the wounds.[58] This curse was invented by Severus Snape, to be used against his personal enemies.[5]","Used by Harry in 1997 against Draco Malfoy,[58] and then later against both the Inferi in Lord Voldemort's Horcrux cave,[4] and Snape used it against George Weasley (was unintentional; aimed for a Death Eater that tried to curse Lupin) in the Order's flight from Privet Drive. Harry learned it in Snape's old Potions textbook. In 1998, the spell is said to be Severus Snape's ""signature"" spell."
(Shield penetration spell)[],Spell,unknown,Annihilates magical enchantments and shields.,"Used by Voldemort to break the enchantments placed around Hogwarts School of Witchcraft and Wizardry in 1998 by Filius Flitwick, Minerva McGonagall, and Molly Weasley."
(Shooting Spell)[],Spell,N/A,Used to shoot objects,This spell was used by Harry Potter and Ronald Weasley in 1997 on their Horcrux hunt in an attempt to catch a rabbit for food.
(Smashing spell)[],Spell,N/A,Produces explosions,N/A
Serpensortia (Snake Summons Spell)[],Conjuration,"ser-pen-SOR-shah, SER-pehn-SOR-tee-ah",Conjures a serpent from the caster's wand.,Used by Draco Malfoy while duelling Harry Potter in 1992.
Silencio (Silencing Charm)[],Charm,sih-LEN-see-oh,Makes something silent.,"First used by Hermione in 1996 to silence a frog and a raven in Charms class, then later used to silence a Death Eater that was trying to tell his comrades where they were."
Skurge (Skurge Charm)[],Charm,SKURJ,Cleans up ectoplasm and frightens ghosts and other spirits.,Taught in second year Charms class.
(Slippery Jinx)[],Jinx,N/A,Makes an object slippery and difficult to hold.,
Slugulus Eructo (Slug-vomiting Charm)[],Curse,N/A,Forces the victim to burp up slimy slugs.,"In 1992, Ronald Weasley attempted to curse Draco Malfoy with this spell after the latter insulted Hermione Granger, but was unsuccessful as his wand at the time was broken, and thus his curse backfired on himself.[64]"
(Sonorous Charm)[],Charm,N/A,"This charm emits a magnified roar from the tip of the wand. This noise disrupts all in its path, and can even be used to harm opponents.",N/A
Sonorus (Amplifying Charm)[],Charm,soh-NOHR-uhs,"Makes the target sound louder. The counter-charm is the Quietening Charm, Quietus.",By Ludo Bagman in 1994 at the beginning of the Quidditch World Cup and by Albus Dumbledore several times in the Triwizard Championship. Used by Lord Voldemort several times during the Battle of Hogwarts in 1998.
Specialis Revelio[],Charm,spe-see-AL-is reh-VEL-ee-oh,Reveals spells cast on objects or potions.,Used by Hermione Granger to find out more of Harry's Advanced Potion-Making book in 1996. Used by Ernie Macmillan to find out ingredients of a potion.
(Sponge-Knees Curse)[],Curse,N/A,"Makes the target's legs spongy, making it difficult for them to walk.",Used during the September 1999 riot that took place at a Puddlemere vs. Holyhead Harpies match. The Puddlemere supporters used this curse against the Holyhead Harpies supporters in retaliation to the Jelly-Brain Jinx.
Spongify (Softening Charm)[],Charm,SPUN-ji-fye,"Softens objects, making them rubbery and bouncy.","This charm is found in The Standard Book of Spells, Grade 1."
(Squiggle Quill)[],Transfiguration,N/A,Transforms writing quills into worms.,N/A
(Stamina Charm)[],Charm,N/A,Increases stamina.,N/A
(Stealth Sensoring Spell)[],Charm,N/A,Detects those under magical disguise.,"In 1996, Professor Umbridge cast this around her office."
Sternius[],Dark charm,"STEH-lee-us, or perhaps STEH-nee-us",A spell that causes the victim to sneeze for a short period of time. This spell is used in duelling to distract the opponent.,N/A
(Stinging Jinx)[],"Jinx, Hex",N/A,Stings the flesh of a target. This spell is also known as,"Harry Potter inadvertently used one on Severus Snape during Occlumency lessons in 1996. It was non-debilitating in that instance, but it is stronger when intentionally cast, as shown by the results of Hermione Granger's Stinging Hex used on Harry Potter in 1998 to purposefully distort Harry's appearance."
(Stretching Jinx)[],Jinx,N/A,Stretches the target.,"Molly Weasley remarked in 1996 that recent growth spurts had made her son Ron and his friend, Harry Potter, look as if this jinx had been cast upon them both."
Stupefy (Stunning Spell)[],Charm,STOO-puh-fye,"Stuns the target, rendering them unconscious.",Often; particularly by a number of wizards and witches (including Dolores Umbridge) against Minerva McGonagall in 1996. It's also taught by Harry in his D.A. meetings.
(Supersensory Charm)[],Charm,N/A,"Grants the caster to have enhanced senses, or to be able to sense things they would not normally sense.",Mentioned by Ron outside of the Hogwarts Express in 2017 as a potential substitute for using mirrors while driving a Muggle auto mobile.
Surgito (Disenchantment Charm)[],Counter-charm,SUR-jee-toh,Counter-charm that can be used to remove enchantments.,"In 1927, Newton Scamander used Surgito to lift an enchantment that was placed on Jacob Kowalski. As a result of the spell, Kowalski awoke from the dreamlike enchanted state, and regained an awareness of reality in the present."
(Switching Spell)[],Transfiguration,N/A,Switches two targets simultaneously.,"Harry contemplated using this spell against his dragon in the first task of the Triwizard Tournament. He considered swapping its fangs for wine gums. Neville Longbottom misuses the spell, transplanting his ears onto a cactus."
(Taboo)[],Jinx,N/A,"A jinx which may be placed upon a word or a name, so that whenever that word is spoken, a magical disturbance is created which alerts the caster of the Taboo to the location of the speaker. Any protective enchantments in effect around the speaker are broken when the Tabooed word is spoken aloud.[65]","This jinx was placed on the word ""Voldemort""; Harry, Ron and Hermione are tracked this way to Tottenham Court Road. Ron tells the other two to stop using the word as he began to fear the name might be a curse, later discovering it to be a Taboo. Later, Harry accidentally says Voldemort's name again, resulting in the trio being caught by Death Eaters and taken to Malfoy Manor."
(Tail-growing spell)[],Hex,N/A,Causes the victim to grow a tail.,"When Miranda Goshawk had her Book of Spells printed, she gave copies to her sisters that had various misprints in them; one such misprint somehow gave her sister Romilda a tail.[16] Timothy Blenkinsop was hit with this hex when he was caught in the crossfire of a Puddlemere United vs. Holyhead Harpies riot."
Tarantallegra (Dancing Feet Spell)[],Charm,ta-RON-ta-LEG-gra,"Makes a target's legs spasm wildly out of control, making it appear as though they are dancing.[40]",First used by Draco Malfoy on Harry Potter in the Duelling Club in 1992.[40]
(Teacup to tortoise)[],Transfiguration,N/A,Transforms a teacup into a tortoise.,Seen on the Scholastic Harry Potter Official Site.
(Teapot to tortoise)[],Transfiguration,N/A,Transforms a teapot into a tortoise.,Third years at Hogwarts School of Witchcraft and Wizardry were required to cast the spell during their final exams.
(Teeth-straightening spell)[],Charm,N/A,Straightens crooked teeth.,"Sir Nicholas de Mimsy-Porpington attempted to use this spell on Lady Grieve at her request, but failed and gave her a tusk instead. He was executed the following morning. After he returned as a ghost, Nearly-Headless Nick recounted the incident in a ballad."
(Teleportation Spell)[],Spell,N/A,Vanishes objects which then appear elsewhere.,"In 1996, Albus Dumbledore  used this to transport Harry Potter's school supplies, clothes, and owl to The Burrow."
Tentaclifors[],"Transfiguration, Jinx",N/A,Transfigures the target's head into a tentacle.,N/A
Tergeo (Wiping Spell)[],Charm,TUR-jee-oh,Siphons liquid and cleans objects.,Hermione Granger used the spell in 1996 to remove blood from Harry's face. It is later used to remove spilled ink from parchment. It was also used in 1997 to clean off a handkerchief by Ron and to dust off a picture of Gellert Grindelwald in Bathilda Bagshot's house by Harry Potter.
Titillando (Tickling Hex)[],Hex,ti-tee-LAN-do,Tickles and weakens the victim.,N/A
(Toenail-growing hex)[],Hex,N/A,Causes the toenails to grow at an extreme and uncontrollable rate.,"In 1996, Harry used this to much applause from classmates, on Vincent Crabbe.[56]"
(Transmogrifian Torture)[],Curse,N/A,Possibly tortures the victim to death.,"Gilderoy Lockhart suggested that it was this curse that ""killed"" Mrs Norris after she was really found petrified on a torch bracket.[66]"
Tribuomnus (Inn Charm)[],Charm,N/A,Causes the quality of food within a location to be improved.,N/A
(Trip Jinx)[],Jinx,N/A,Forces the target to trip and fall over.,"Seen in 1996. It was cast successfully on Harry Potter by Draco Malfoy, when he and other members of the Inquisitorial Squad attempted to round up members of Dumbledore's Army."
(Twitchy-Ears Hex)[],Hex,N/A,Causes the victim's ears to twitch.,Miranda Goshawk recommended this hex to be cast on somebody practising the Shield Charm.
(Unbreakable Charm)[],Charm,N/A,Makes objects unbreakable.,"Hermione Granger used the charm on a jar, in which she put Rita Skeeter in her Animagus beetle form to prevent her from transforming back into a human."
(Unbreakable Vow)[],Spell,N/A,"Causes a vow taken by a witch or wizard to be inviolable; if they should break it, the consequence is death.","Snape made an Unbreakable Vow with Narcissa Malfoy at the beginning of Half-Blood Prince, vowing to help Narcissa's son Draco with a task given to him by Voldemort, and to finish the task should Draco prove incapable. Fred and George attempted to force an Unbreakable Vow upon Ron as children. According to Ron, it causes death when the vow is broken."
(Unsupported flight)[],Spell,N/A,Allows a witch or wizard to fly through the air unaided. Technique invented by Lord Voldemort,"Demonstrated by Tom Riddle during the Battle of the Seven Potters, and by Severus Snape before his ousting."
(Vacuum cleaner spell)[],Charm,N/A,Cleans objects by using the wand to suck up dust like a vacuum cleaner.,Used by Madam Malkin in 1996.
Ventus (Windy Spell)[],Charm,VEN-tuss,Shoots a jet of strong spiralling wind from the tip of the wand.,"Used by Newton Scamander to send away Stebbins on a London street, much to the bemusement of passing Muggles."
Ventus Duo[],Jinx,N/A,A stronger version of the Windy Spell,In Harry Potter and the Order of the Phoenix (video game)
Vera Verto[],Transfiguration,vair-uh-VAIR-toh,Turn animals to water goblets.,Taught by Minerva McGonagall in her Transfiguration class. Also used by Ronald Weasley unsuccessfully in one of his second year classes thanks to his damaged wand.
Verdillious[],Charm,ver-DILL-ee-us,A spell used to shoot green sparks from the end of the wand.,N/A
Verdimillious (Verdimillious Charm)[],Charm,vur-duh-MILL-ee-us,"Produces a jet of green sparks that can be used in duelling, or to reveal things hidden by dark magic.",Taught in first year Defence Against the Dark Arts teacher's office class.
Verdimillious Duo[],Charm,VERD-dee-MILL-lee-us,A more powerful version of Verdimillious.,Learned in first year Defence Against the Dark Arts.
Vermiculus[],"Transfiguration, Jinx",vur-MICK-yoo-luhs,Transforms things into worms.,
Vermillious (Red Sparks)[],Charm,vur-MILL-ee-us,Jet of red sparks that can be used to signal an emergency or as a minor duelling spell.,N/A
Versis[],N/A,N/A,Unknown effect.,N/A
(Victor Rookwood's curse)[],Curse,N/A,Causes the victim considerable pain and illness which lasts for many years.,Victor Rookwood used this curse on Anne Sallow in the 1880s.
Vipera Evanesca (Snake-Vanishing Spell)[],Vanishment,vee-PAIR-uh eh-vuh-NES-kuh,"Vanishes snakes. Subsequently, it is the counter-spell for the Snake Summons Spell.",Severus Snape cast this spell in 1992 at the Duelling Club to vanish a snake that Draco Malfoy had conjured while duelling Harry Potter.[40] Albus Dumbledore also used this spell to vanish Voldemort's snake during their Duel in the Ministry Atrium.[6]
Vulnera Sanentur[],Healing Spell,VUL-ner-ah sah-NEN-tour,"Healing spell that slows blood flow, clears residue, and knits wounds. It is the counter-curse to Sectumsempra.[58]",Used by Severus Snape to heal the wounds of Draco Malfoy caused by the Sectumsempra curse cast by Harry Potter in 1997.[58]
Waddiwasi[],Charm,wah-deh-WAH-see,"Used to shoot small, soft masses of whatever the caster so desires at the target[63]","Cast by Remus Lupin in 1993, on Peeves the Poltergeist, sending a wad of chewing gum up his nose.[63]"
(Washing up spell)[],Charm,N/A,Enchanted dirty dishes to wash themselves.,"It was usednon-verbally by Molly Weasley after preparing breakfast for Harry Potter upon his arrival to The Burrow on 4 August, 1992."
(Weight-loss charms)[],Charm,N/A,Magicaly reduces a person's weight.,Mentioned by Violet Williams during a picnic shared by the teams that were competing at the Intercontinental Wizard's Cup.
Wingardium Leviosa (Levitation Charm)[],Charm,win-GAR-dee-um lev-ee-OH-sa,"Makes objects fly, or levitate.[69]","This spell is taught in early first-year charms classes; this came into good use later in that year, when Ron Weasley performed the spell to knock out a mountain troll;[69] six years later, Harry uses the charm to levitate the side-car of his godfather's flying motorbike; Ron used it again this year to make a twig poke a tree."
(White sparks)[],Charm,N/A,Jet of white sparks. It can be used offensively as a minor duelling spell.,"Following the American National Quidditch team's win at the semi-finals of the 2014 Quidditch World Cup against Liechtenstein, red, white and blue sparks filled the air so thickly it was difficult to see or breathe."
